"date","count"
1995-04-17,1
1997-06-25,1
1997-06-26,1
1997-07-01,1
1998-03-23,1
1998-04-16,3
1998-04-17,1
1998-04-19,1
1998-04-20,4
1998-12-05,2
2001-07-11,2
2001-07-13,1
2001-07-30,13
2001-08-12,1
2001-08-13,1
2001-11-10,1
2001-11-23,30
2001-11-24,1
2002-01-02,5
2002-01-03,6
2002-01-04,1
2002-01-05,22
2002-01-07,1
2002-01-12,1
2002-01-24,27
2002-01-26,1
2002-02-26,2
2002-03-07,2
2002-04-24,1
2002-05-09,1
2002-05-10,2
2002-05-11,4
2002-05-12,1
2002-05-13,1
2002-06-29,1
2002-07-09,1
2002-07-10,1
2002-07-18,23
2002-07-19,178
2002-07-20,16
2002-07-23,1
2002-07-26,5
2002-07-27,2
2002-07-28,24
2002-07-29,44
2002-08-02,1
2002-08-03,1
2002-08-04,2
2002-08-05,1
2002-08-07,2
2002-08-15,2
2002-09-09,1
2002-09-11,1
2002-09-13,1
2002-10-03,1
2002-12-07,1
2002-12-15,1
2002-12-29,1
2003-01-25,5
2003-01-30,2
2003-01-31,1
2003-02-09,1
2003-02-10,1
2003-02-12,1
2003-02-13,1
2003-02-15,10
2003-02-16,1
2003-02-17,1
2003-02-21,5
2003-02-22,1
2003-02-24,3
2003-03-05,2
2003-03-09,17
2003-03-29,1
2003-04-15,1
2003-04-16,2
2003-04-17,1
2003-06-09,1
2003-07-21,1
2003-07-31,12
2003-08-01,3
2003-08-11,1
2003-08-27,5
2003-09-11,1
2003-09-13,2
2003-09-15,5
2003-09-16,3
2003-09-17,102
2003-09-19,2
2003-09-20,2
2003-09-21,1
2003-09-22,6
2003-09-24,1
2003-09-27,28
2003-09-28,9
2003-09-29,8
2003-09-30,25
2003-10-01,2
2003-10-02,92
2003-10-20,11
2003-10-23,1
2003-10-24,4
2003-10-25,4
2003-10-26,2
2003-10-27,4
2003-10-31,3
2003-11-06,1
2003-11-21,1
2003-11-27,1
2003-11-29,1
2003-12-05,7
2003-12-28,2
2004-01-06,8
2004-01-07,2
2004-01-08,2
2004-01-09,16
2004-01-10,9
2004-02-27,1
2004-03-03,1
2004-03-05,1
2004-03-09,4
2004-03-18,1
2004-03-19,11
2004-03-20,32
2004-03-23,2
2004-03-24,2
2004-03-28,1
2004-04-01,1
2004-04-15,2
2004-04-17,1
2004-04-19,3
2004-04-24,1
2004-04-30,2
2004-05-02,2
2004-05-22,2
2004-05-23,2
2004-06-09,1
2004-06-13,5
2004-06-16,5
2004-06-17,4
2004-06-19,3
2004-06-20,1
2004-06-22,1
2004-06-28,2
2004-07-07,3
2004-07-10,3
2004-07-14,6
2004-07-30,6
2004-08-03,2
2004-08-04,1
2004-08-05,1
2004-08-09,6
2004-09-06,6
2004-09-07,4
2004-09-08,18
2004-09-13,1
2004-09-23,1
2004-09-30,70
2004-10-02,1
2004-10-06,3
2004-10-11,4
2004-10-13,21
2004-10-14,28
2004-10-26,15
2004-10-27,13
2004-10-28,43
2004-10-29,6
2004-10-31,13
2004-11-01,9
2004-11-02,46
2004-11-03,56
2004-11-04,21
2004-11-05,1
2004-11-08,1
2004-11-09,2
2004-11-12,1
2004-11-19,4
2004-12-03,2
2004-12-15,1
2004-12-20,1
2004-12-27,2
2005-01-12,2
2005-01-20,14
2005-01-24,1
2005-01-27,13
2005-02-02,1
2005-02-12,2
2005-02-23,1
2005-02-24,22
2005-02-25,17
2005-02-26,1
2005-02-27,11
2005-03-02,1
2005-03-06,1
2005-03-08,4
2005-03-09,2
2005-03-13,1
2005-03-14,2
2005-03-15,2
2005-03-16,33
2005-03-17,1
2005-03-20,3
2005-03-21,2
2005-03-22,3
2005-03-24,9
2005-04-03,10
2005-04-05,1
2005-04-06,1
2005-04-19,115
2005-04-23,1
2005-04-25,4
2005-04-27,2
2005-05-02,3
2005-05-03,1
2005-05-11,13
2005-05-17,153
2005-05-19,2
2005-05-22,11
2005-05-24,7
2005-05-31,5
2005-06-01,1
2005-06-03,3
2005-08-10,1
2005-08-13,1
2005-08-17,107
2005-08-18,60
2005-08-28,4
2005-08-29,483
2005-08-30,5
2005-09-01,1
2005-09-03,1
2005-09-04,3
2005-09-05,3
2005-09-10,1
2005-09-11,1
2005-09-12,7
2005-09-13,1
2005-09-15,59
2005-09-20,1
2005-09-21,1
2005-09-25,1
2005-09-26,2
2005-09-27,4
2005-10-08,2
2005-10-11,12
2005-10-13,1
2005-10-23,1
2005-10-28,140
2005-10-29,1
2005-10-30,2
2005-11-03,7
2005-11-08,6
2005-11-09,2
2005-11-14,2
2005-11-15,12
2005-11-18,6
2005-11-22,4
2005-11-28,2
2005-12-03,1
2005-12-04,2
2005-12-05,9
2005-12-06,7
2005-12-15,2
2005-12-17,6
2005-12-21,2
2005-12-29,7
2006-01-04,3
2006-01-05,1
2006-01-07,4
2006-01-09,1
2006-01-10,7
2006-01-11,17
2006-01-12,8
2006-01-14,9
2006-01-16,5
2006-01-17,6
2006-01-25,3
2006-01-28,17
2006-01-29,32
2006-01-30,13
2006-01-31,61
2006-02-04,7
2006-02-08,1
2006-02-09,1
2006-02-12,1
2006-02-15,4
2006-02-16,1
2006-02-17,7
2006-02-18,15
2006-02-24,25
2006-02-25,34
2006-02-26,7
2006-02-27,6
2006-02-28,11
2006-03-01,1
2006-03-02,9
2006-03-03,24
2006-03-04,11
2006-03-05,2
2006-03-07,1
2006-03-11,8
2006-03-12,1641
2006-03-13,9
2006-03-14,2
2006-03-15,14
2006-03-16,37
2006-03-22,4
2006-03-28,2
2006-04-04,37
2006-04-06,1
2006-04-10,1
2006-04-11,1
2006-04-12,1
2006-04-23,2
2006-04-24,2
2006-04-26,2
2006-05-02,3
2006-05-08,1
2006-05-23,9
2006-05-31,2
2006-06-14,1
2006-06-15,16
2006-06-27,6
2006-06-28,28
2006-07-15,26
2006-07-22,8
2006-07-30,14
2006-08-12,27
2006-08-13,33
2006-08-14,2
2006-08-18,1
2006-08-20,9
2006-08-23,1
2006-08-26,25
2006-08-27,19
2006-09-06,1
2006-09-15,1
2006-09-20,1
2006-10-15,10
2006-11-04,52
2006-11-12,5
2006-11-26,5
2006-12-01,1
2006-12-02,16
2006-12-03,10
2007-01-12,1
2007-01-21,3
2007-01-22,2
2007-02-01,19
2007-02-04,9
2007-02-10,6
2007-02-11,21
2007-02-20,10
2007-03-03,3
2007-03-04,4
2007-03-11,1
2007-03-12,1
2007-03-14,1
2007-03-16,1
2007-05-04,1
2007-05-13,59
2007-05-28,14
2007-05-29,2
2007-05-30,1
2007-05-31,12
2007-06-02,7
2007-06-23,117
2007-06-27,14
2007-06-28,26
2007-06-30,7
2007-07-16,1
2007-07-18,1
2007-07-20,13
2007-07-21,30
2007-07-26,7
2007-07-29,28
2007-07-31,1
2007-08-01,6
2007-08-02,8
2007-08-03,81
2007-08-07,7
2007-08-08,48
2007-08-09,2
2007-08-24,8
2007-08-26,4
2007-08-27,27
2007-08-28,26
2007-08-29,21
2007-09-04,2
2007-09-07,1
2007-09-16,4
2007-09-21,4
2007-09-23,1
2007-09-24,12
2007-09-26,1
2007-10-03,22
2007-10-05,2
2007-10-06,2
2007-10-07,3
2007-10-08,1
2007-10-10,3
2007-10-11,1
2007-10-15,10
2007-10-16,2
2007-10-17,1
2007-10-18,15
2007-10-19,2
2007-10-20,7
2007-10-21,1
2007-10-22,2
2007-10-23,3
2007-10-24,5
2007-10-26,3
2007-10-29,4
2007-10-31,19
2007-11-01,17
2007-11-03,1
2007-11-04,7
2007-11-06,25
2007-11-08,1
2007-11-10,1
2007-11-11,1
2007-11-12,3
2007-11-13,29
2007-11-15,1
2007-11-17,14
2007-11-19,1
2007-11-25,15
2007-11-27,6
2007-11-28,19
2007-11-30,4
2007-12-06,4
2007-12-15,20
2007-12-16,226
2007-12-21,20
2007-12-28,43
2008-01-01,37
2008-01-02,20
2008-01-03,22
2008-01-08,13
2008-01-09,4
2008-01-10,11
2008-01-11,4
2008-01-15,9
2008-01-16,2
2008-01-17,11
2008-01-19,5
2008-01-21,1
2008-01-22,21
2008-01-23,4
2008-01-26,2
2008-01-27,3
2008-01-28,2
2008-02-04,1
2008-02-05,3
2008-02-09,4
2008-02-10,1
2008-02-12,21
2008-02-13,2
2008-02-14,6
2008-02-16,9
2008-02-18,3
2008-02-19,2
2008-02-20,1
2008-02-21,45
2008-02-22,5
2008-02-24,1
2008-02-26,3
2008-02-27,6
2008-03-01,2
2008-03-02,16
2008-03-03,16
2008-03-08,5
2008-03-10,5
2008-03-11,4
2008-03-13,8
2008-03-14,5
2008-03-19,1
2008-03-23,3
2008-03-26,6
2008-03-27,3
2008-03-31,2
2008-04-02,7
2008-04-03,3
2008-04-08,4
2008-04-15,3
2008-04-17,3
2008-04-18,7
2008-04-19,1
2008-04-20,1
2008-04-21,2
2008-04-22,5
2008-04-23,1
2008-04-24,11
2008-04-25,4
2008-04-27,2
2008-04-28,7
2008-04-29,5
2008-05-01,2
2008-05-02,4
2008-05-03,7
2008-05-04,7
2008-05-05,1
2008-05-07,2
2008-05-08,5
2008-05-11,14
2008-05-13,1
2008-05-15,2
2008-05-20,1
2008-05-21,10
2008-05-22,44
2008-05-23,7
2008-05-24,7
2008-05-26,17
2008-05-27,4
2008-05-28,9
2008-05-29,1
2008-05-31,3
2008-06-03,7
2008-06-04,1
2008-06-05,43
2008-06-06,17
2008-06-07,10
2008-06-08,3
2008-06-09,21
2008-06-10,15
2008-06-11,6
2008-06-12,7
2008-06-13,3
2008-06-14,4
2008-06-15,14
2008-06-16,10
2008-06-17,16
2008-06-18,2
2008-06-19,3
2008-06-20,2
2008-06-23,3
2008-06-24,2
2008-06-25,4
2008-06-26,47
2008-06-27,41
2008-06-28,8
2008-06-30,25
2008-07-02,1
2008-07-07,3
2008-07-08,9
2008-07-10,2
2008-07-13,33
2008-07-14,4
2008-07-15,3
2008-07-16,3
2008-07-17,5
2008-07-18,4
2008-07-21,1
2008-07-22,9
2008-07-23,10
2008-07-24,2
2008-07-25,7
2008-07-26,17
2008-07-27,4
2008-07-28,9
2008-07-30,11
2008-07-31,8
2008-08-01,41
2008-08-02,4
2008-08-04,10
2008-08-05,6
2008-08-06,6
2008-08-07,6
2008-08-08,9
2008-08-09,3
2008-08-11,4
2008-08-12,1
2008-08-13,1
2008-08-14,5
2008-08-19,12
2008-08-21,1
2008-08-23,1
2008-08-25,529
2008-08-26,9
2008-08-27,13
2008-09-06,23
2008-09-07,15
2008-09-09,1
2008-09-10,2
2008-09-11,1
2008-09-12,3
2008-09-13,5
2008-09-16,13
2008-09-17,36
2008-09-22,3
2008-10-01,37
2008-10-14,2
2008-10-19,1
2008-10-25,1
2008-10-26,1
2008-10-29,2
2008-11-04,2
2008-11-06,1
2008-11-09,4
2008-11-11,4
2008-11-12,3
2008-11-14,22
2008-11-16,14
2008-12-02,1
2008-12-08,6
2009-01-04,4
2009-01-06,2
2009-01-07,19
2009-01-08,17
2009-01-09,4
2009-01-10,8
2009-01-11,5
2009-01-12,10
2009-01-13,2
2009-01-15,4
2009-01-19,6
2009-01-20,17
2009-01-24,15
2009-01-25,3
2009-01-26,4
2009-01-27,1
2009-01-28,19
